,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,truth
0,2220.13330078125,0.0,2350.47021484375,0.0,38.54446029663086,1677.3377685546875,0.0,0.0,580.8316040039062,878.2176513671875,1809.54443359375,3458.861572265625,0.0,1850.532470703125,1990.539794921875,0.0,1173.703369140625,0.0,2519.1025390625,2926.316162109375,0
1,0.0,0.0,18.019210815429688,0.0,1390.50048828125,0.0,605.6713256835938,0.0,0.0,0.0,1689.07421875,2869.898681640625,1734.441162109375,0.0,2021.5595703125,0.0,0.0,0.0,2025.891357421875,2275.638427734375,0
2,218.0880584716797,0.0,872.7415161132812,0.0,0.0,122.52242279052734,0.0,0.0,0.0,0.0,1283.80908203125,1879.2161865234375,95.16190338134766,207.01829528808594,1265.3427734375,0.0,0.0,0.0,1483.29833984375,2038.709716796875,0
3,379.90167236328125,0.0,808.4839477539062,0.0,637.5156860351562,0.0,274.3129577636719,0.0,0.0,0.0,1416.84033203125,2293.07373046875,952.2608032226562,0.0,1688.1832275390625,0.0,0.0,0.0,1653.31787109375,2657.0537109375,0
4,0.0,0.0,0.0,0.0,1941.5191650390625,0.0,812.6024169921875,0.0,0.0,0.0,0.0,201.15232849121094,1909.8089599609375,0.0,120.39070892333984,0.0,0.0,0.0,72.70503234863281,427.1921081542969,1
5,0.0,0.0,0.0,0.0,1637.966796875,0.0,613.062744140625,0.0,0.0,0.0,440.4446716308594,913.34521484375,1464.5831298828125,0.0,667.0676879882812,0.0,0.0,0.0,421.863037109375,1026.6766357421875,1
6,423.7507629394531,0.0,655.8214111328125,0.0,0.0,69.97501373291016,0.0,0.0,0.0,40.62946701049805,1115.6304931640625,1800.54052734375,0.0,64.01311492919922,1089.074951171875,0.0,25.865093231201172,0.0,1315.7679443359375,1955.95068359375,1
7,0.0,0.0,0.0,0.0,4495.60693359375,0.0,2283.62841796875,0.0,0.0,0.0,0.0,0.0,4305.78759765625,0.0,0.0,0.0,0.0,0.0,0.0,51.12506866455078,1
8,0.0,0.0,0.0,0.0,2248.39404296875,0.0,1102.9921875,0.0,0.0,0.0,589.445556640625,1383.8917236328125,2286.316162109375,0.0,1018.7393188476562,0.0,0.0,0.0,942.0006713867188,1458.5411376953125,1
9,0.0,0.0,847.177490234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.150634765625,4273.587890625,57.76322555541992,405.4774475097656,2766.99755859375,0.0,0.0,0.0,3140.833984375,4215.88330078125,0
10,2519.3603515625,0.0,2239.646240234375,0.0,0.0,1364.869384765625,0.0,0.0,0.0,539.222412109375,3452.44580078125,5277.47900390625,0.0,2218.290771484375,2969.048095703125,0.0,874.0127563476562,0.0,3808.720703125,4141.287109375,0
11,0.0,0.0,0.0,0.0,4921.27099609375,0.0,3118.966064453125,0.0,0.0,0.0,0.0,0.0,5122.3134765625,0.0,124.66345977783203,0.0,0.0,0.0,0.0,0.0,1
12,0.0,0.0,0.0,0.0,3777.2314453125,0.0,1992.7032470703125,0.0,0.0,0.0,0.0,0.0,3976.219970703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13,0.0,0.0,0.0,0.0,3720.46044921875,0.0,2242.45263671875,0.0,0.0,0.0,0.0,0.0,4259.3701171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,0.0,0.0,0.0,0.0,3823.04296875,0.0,1934.7022705078125,0.0,0.0,0.0,329.8740234375,713.8748779296875,4173.78125,0.0,806.5374755859375,0.0,0.0,0.0,509.57666015625,919.7572021484375,1
15,0.0,0.0,0.0,0.0,4695.380859375,0.0,2410.39892578125,0.0,0.0,0.0,0.0,0.0,4913.23583984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,1314.2132568359375,0.0,1284.5771484375,0.0,72.1200942993164,1009.4912719726562,0.0,0.0,219.82015991210938,702.5261840820312,1116.3116455078125,2143.282470703125,0.0,1286.7425537109375,1025.22509765625,0.0,1017.7200317382812,0.0,1402.442138671875,1746.0975341796875,0
17,838.2860717773438,0.0,1584.1898193359375,0.0,0.0,313.32708740234375,0.0,0.0,0.0,0.0,3123.9169921875,5007.59375,200.9984588623047,694.6415405273438,3638.24072265625,0.0,0.0,0.0,3536.53515625,4335.24462890625,0
18,0.0,0.0,0.0,0.0,5673.21728515625,0.0,3343.227294921875,0.0,0.0,0.0,0.0,0.0,6132.884765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,1954.401611328125,0.0,2348.32421875,0.0,0.0,1349.5128173828125,0.0,0.0,0.0,501.8189392089844,2790.5810546875,4325.978515625,0.0,1852.69873046875,2547.291259765625,0.0,820.3370971679688,0.0,3076.825927734375,3632.562744140625,0
20,872.9439086914062,0.0,1565.80029296875,0.0,0.0,323.2991027832031,0.0,0.0,0.0,0.0,3649.59716796875,5103.962890625,0.0,801.813720703125,3817.255615234375,0.0,0.0,0.0,3629.001708984375,4788.22802734375,0
